Campaign type,amount,start_month,start_year,start_quarter,Is_Weekend,clicks,impressions,views
Search,112.51,7,2021,3,False,5.293304824724492,8.945462952177666,0.0
Search,79.13,6,2021,2,False,3.8501476017100584,7.8383433155571165,0.0
App,40.55,5,2022,2,False,1.1275236321625297,10.143134175949353,5.049856007249537
Search,10.12,6,2020,2,False,3.4011973816621555,4.9344739331306915,0.0
Search,0.0,9,2021,3,False,0.0,0.6931471805599453,0.0
App,34.44,5,2022,2,False,5.971261839790462,8.651024539049757,0.0
Video,36.34,5,2021,2,False,6.313548046277095,10.61678043878903,2.8619151258196514
Search,4.41,6,2021,2,False,2.1972245773362196,4.787491742782046,0.0
Search,8.31,5,2021,2,False,1.791759469228055,2.772588722239781,0.0
Video,0.83,10,2021,4,False,1.6094379124341003,6.20455776256869,4.330733340286331
Video,13.47,8,2021,3,False,3.8501476017100584,9.61092693263324,6.546785410760524
Video,0.2,8,2021,3,False,1.3862943611198906,5.488937726156687,4.454347296253507
Search,0.14,12,2021,4,False,1.3862943611198906,2.4849066497880004,0.0
Search,22.57,10,2021,4,False,5.616771097666572,8.62515033292133,0.0
Video,1.46,3,2021,1,False,2.6390573296152584,6.703188113240863,5.493061443340548
Search,63.51,6,2021,2,False,4.836281906951478,6.755768921984255,0.0
