sector,amount,objective,end_month,end-year,end_quarter,start_month,start_year,start_quarter,Is_Weekend,result,reach,impressions
Ecommerce & Retail,83.71,CONVERSIONS,6,2021,2,4,2021,2,False,2.302585092994046,11.085015341531545,11.92036861546202
Ecommerce & Retail,0.21,Traffic,5,2021,2,5,2021,2,False,1.9459101490553132,6.890609120147166,6.894670039433482
B2B,14.5,lead generation,4,2019,2,3,2019,1,False,0.6931471805599453,8.934059722248843,9.477921772720961
Ecommerce & Retail,881.99,Traffic,9,2019,3,9,2019,3,False,10.18539045772387,12.816012115073425,15.266552558979884
Travel,17.85,Traffic,1,2022,1,1,2022,1,True,3.784189633918261,7.994969522697877,8.13973227971767
Ecommerce & Retail,10.67,post engagement,10,2021,4,10,2021,4,False,7.252762418053187,9.54108193388841,9.890250325754108
Automotive,16.95,post engagement,7,2021,3,7,2021,3,False,10.101149179835646,10.559400046485848,10.75064254557542
Ecommerce & Retail,59.88,Traffic,5,2021,2,5,2021,2,False,7.298445101508147,12.121489227751574,12.753774891058823
Ecommerce & Retail,246.06,CONVERSIONS,10,2021,4,9,2021,3,False,2.9444389791664403,11.33323644002164,12.653053907174467
Automotive,349.98,Traffic,9,2021,3,9,2021,3,True,8.97853441008332,12.687609510589583,13.269556768470116
Ecommerce & Retail,5.44,post engagement,10,2021,4,10,2021,4,False,5.187385805840755,7.933438387627489,8.18088094199639
Travel,6.95,Traffic,12,2021,4,11,2021,4,False,6.0473721790462776,10.488186120839014,10.927358335076908
B2B,46.98,lead generation,8,2021,3,8,2021,3,False,2.70805020110221,9.070733417589766,9.387146748082028
Ecommerce & Retail,15.46,Traffic,2,2022,1,2,2022,1,False,7.095064377287131,9.917242517768464,9.934210725178968
Ecommerce & Retail,36.25,Messages,4,2020,2,4,2020,2,False,4.2626798770413155,10.418972305682843,11.649019820397864
Travel,454.94,post engagement,8,2021,3,8,2021,3,False,9.54831148472113,12.128721728402278,14.241728821865395
B2B,56.93,lead generation,2,2022,1,2,2022,1,False,3.6888794541139363,9.933094897288786,10.250016196420983
Ecommerce & Retail,6.0,Traffic,1,2021,1,1,2021,1,False,4.394449154672439,10.010052342764158,10.546183189599976
Ecommerce & Retail,14.0,Messages,3,2021,1,3,2021,1,False,0.6931471805599453,9.560222295507314,9.815803221891244
Ecommerce & Retail,49.34,Messages,4,2020,2,4,2020,2,False,6.259581464064923,11.727270421928088,12.384954961576616
Ecommerce & Retail,14.0,post engagement,2,2022,1,2,2022,1,True,6.429719478039138,8.627302414096267,9.051110146405625
Automotive,243.73,Traffic,10,2021,4,9,2021,3,False,9.534089150464357,12.504587085468991,14.380485673300457
Ecommerce & Retail,62.22,CONVERSIONS,12,2021,4,12,2021,4,False,1.6094379124341003,10.579615727926479,11.475701157671958
