sector,amount,objective,end_month,end-year,end_quarter,start_month,start_year,start_quarter,Is_Weekend,result,reach,impressions
Ecommerce & Retail,10.0,post engagement,1,2021,1,1,2021,1,True,7.261927092702751,10.480016643626312,10.795280652809883
B2B,1.99,Traffic,10,2020,4,9,2020,3,False,4.564348191467836,8.918248591035702,9.170663554823284
Ecommerce & Retail,17.45,post engagement,10,2020,4,10,2020,4,False,6.706862336602747,10.218882063554444,10.658975528502648
Ecommerce & Retail,10.86,Traffic,5,2021,2,4,2021,2,False,5.916202062607435,9.759212943379076,10.532336183163109
Ecommerce & Retail,22.0,post engagement,9,2021,3,9,2021,3,False,6.88653164253051,9.802174390835638,10.555812738575819
Automotive,68.56,Traffic,10,2021,4,10,2021,4,True,8.435549202375727,12.224192485184087,13.170202613394364
Ecommerce & Retail,11.5,post engagement,11,2020,4,11,2020,4,False,4.955827057601261,9.700452954144632,10.064372648053766
Automotive,21.36,Traffic,3,2022,1,3,2022,1,False,6.9411900550683745,10.469284199546632,10.957032737834929
Ecommerce & Retail,8.04,Traffic,5,2020,2,5,2020,2,False,6.586171654854675,9.853088594952276,10.240887929730164
Ecommerce & Retail,36.07,post engagement,10,2020,4,10,2020,4,False,6.85751406254539,10.840384510303231,11.687508825669061
Travel,10.0,Messages,6,2020,2,6,2020,2,False,3.970291913552122,9.196951134857168,9.527338498762017
Travel,7.19,Traffic,2,2019,1,2,2019,1,False,5.662960480135946,10.724764060806601,10.950192323132216
Travel,105.72,post engagement,6,2021,2,6,2021,2,False,9.049114723476961,11.730622209327167,12.468679188338205
Ecommerce & Retail,7.73,post engagement,6,2021,2,6,2021,2,False,6.556778356158042,9.759212943379076,9.836599606994497
Travel,0.31,Traffic,2,2019,1,2,2019,1,False,2.5649493574615367,7.173958319756794,7.1853870155804165
Ecommerce & Retail,2.08,post engagement,3,2020,1,3,2020,1,True,5.111987788356544,8.91341571815747,8.988196320995057
Ecommerce & Retail,105.9,post engagement,1,2021,1,1,2021,1,True,8.210396255104774,10.869044525713202,11.570108878497683
Ecommerce & Retail,20.0,Messages,11,2021,4,11,2021,4,False,1.9459101490553132,8.474911799159631,9.351318965235755
Ecommerce & Retail,10.0,post engagement,5,2021,2,5,2021,2,False,6.8001700683022,9.665039989962045,10.165313210442681
Ecommerce & Retail,32.0,Traffic,12,2020,4,12,2020,4,False,7.640123172695364,11.741892029587227,12.325534271565113
Ecommerce & Retail,88.47,lead generation,5,2020,2,4,2020,2,True,5.313205979041787,10.726104764547102,12.072043986432027
Automotive,44.36,Traffic,10,2021,4,10,2021,4,False,7.757906208351747,11.484289336933893,12.34318760948605
B2B,12.07,lead generation,5,2022,2,2,2022,1,True,1.791759469228055,8.928375259853631,9.12052506765382
Ecommerce & Retail,231.25,lead generation,3,2021,1,1,2021,1,False,4.174387269895637,11.695505321735206,12.981778596590456
Ecommerce & Retail,40.0,Traffic,4,2021,2,3,2021,1,True,5.717027701406222,11.390836923913291,11.991201037165803
Automotive,52.66,Messages,4,2022,2,3,2022,1,True,5.14166355650266,10.660196214585818,11.162346190346335
Ecommerce & Retail,5.88,post engagement,11,2021,4,11,2021,4,False,8.810161268297255,9.308192772143688,9.414341877762027
Ecommerce & Retail,5.54,post engagement,11,2019,4,11,2019,4,False,5.840641657373398,9.627009150591672,9.698245312357605
Ecommerce & Retail,15.0,post engagement,11,2020,4,11,2020,4,False,7.772331575169614,10.470646249642279,10.982509191439233
Ecommerce & Retail,16.91,CONVERSIONS,3,2021,1,2,2021,1,True,1.3862943611198906,9.612667227583843,10.14800112958653
B2B,6.92,Messages,12,2021,4,12,2021,4,True,2.0794415416798357,8.084562415235304,8.163371316459912
Travel,0.1,pages likes,7,2020,3,7,2020,3,False,0.6931471805599453,5.288267030694535,5.293304824724492
Travel,42.8,Traffic,5,2022,2,5,2022,2,False,5.420534999272286,9.20833836930551,9.46614470552994
Travel,165.2,Messages,3,2022,1,2,2022,1,False,5.087596335232384,11.357230259643984,12.358720768512637
Ecommerce & Retail,14.79,CONVERSIONS,5,2022,2,4,2022,2,True,1.791759469228055,10.379007190594631,10.54220494610679
Ecommerce & Retail,9.1,post engagement,4,2021,2,4,2021,2,True,7.050989447068045,9.344871264933788,9.60008251961911
Travel,153.7,post engagement,3,2022,1,2,2022,1,False,11.108694594876868,11.108514800740668,11.930938188132895
Ecommerce & Retail,158.81,CONVERSIONS,3,2022,1,1,2022,1,True,1.0986122886681098,11.669048484171066,12.59575384048253
Travel,156.72,post engagement,1,2022,1,1,2022,1,False,9.997888227957612,12.657734080528044,13.525646105853426
